2023-03-14 13:41:51.814 [restartedMain] INFO  com.itmo.eva.EvaApplication - Starting EvaApplication using Java 1.8.0_362 on chenjiahandeMacBook-Pro-2.local with PID 32646 (/Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva/target/classes started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 13:42:05.671 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 13:42:06.452 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 13:42:07.238 [http-nio-8080-exec-1] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: d8039b73-99fc-46e4-8cc3-1805d98c4790, cost: 1583ms
2023-03-14 13:42:07.238 [http-nio-8080-exec-1] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：1
2023-03-14 13:46:43.018 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 0fab3589-b5e6-4dd7-ab6c-0a7aef3d5328, path: /api/score/get/rank/teacher/second, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=25, sid=null, secondId=9, identity=1)]
2023-03-14 13:46:45.400 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: 0fab3589-b5e6-4dd7-ab6c-0a7aef3d5328, cost: 2382ms
2023-03-14 13:46:45.402 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：2
2023-03-14 14:51:38.383 [scheduling-1] INFO  com.itmo.eva.job.EmailSendJob - 邮件检测...
2023-03-14 15:32:57.011 [scheduling-1] INFO  com.itmo.eva.job.EmailSendJob - 邮件检测...
2023-03-14 16:16:16.031 [http-nio-8080-exec-8] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: bdc2de89-d7b1-42b9-a7bc-796ca1d7f0db, path: /api/score/get/rank/teacher/second, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=25, sid=null, secondId=9, identity=0)]
2023-03-14 16:16:35.136 [restartedMain] INFO  com.itmo.eva.EvaApplication - Starting EvaApplication using Java 1.8.0_362 on chenjiaandeMBP2 with PID 35526 (/Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva/target/classes started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 16:16:35.137 [restartedMain] INFO  com.itmo.eva.EvaApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 16:16:35.164 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-14 16:16:35.165 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-14 16:16:35.987 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-14 16:16:35.991 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-14 16:16:35.991 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-14 16:16:35.991 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-03-14 16:16:36.021 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-03-14 16:16:36.022 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 857 ms
2023-03-14 16:16:37.096 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-14 16:16:37.254 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-14 16:16:37.267 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2023-03-14 16:16:37.530 [restartedMain] INFO  com.itmo.eva.EvaApplication - Started EvaApplication in 2.717 seconds (JVM running for 3.235)
2023-03-14 16:16:49.184 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-14 16:16:49.184 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-14 16:16:49.186 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-03-14 16:16:49.227 [http-nio-8080-exec-1] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 5c8d3aa4-44b0-43b2-8e77-80cfab664a2b, path: /api/score/get/rank/teacher/second, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=25, sid=null, secondId=9, identity=0)]
2023-03-14 16:16:49.240 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 16:16:49.537 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 16:18:13.685 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 1884c73f-4f7e-4afd-a828-3ff94703a145, path: /api/score/get/rank/teacher/second, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=27, sid=null, secondId=9, identity=0)]
2023-03-14 16:18:29.509 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-14 16:40:17.839 [restartedMain] INFO  com.itmo.eva.EvaApplication - Starting EvaApplication using Java 1.8.0_362 on chenjiaandeMBP2 with PID 40851 (/Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva/target/classes started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 16:40:17.839 [restartedMain] INFO  com.itmo.eva.EvaApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 16:40:17.870 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-14 16:40:17.870 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-14 16:40:18.672 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-14 16:40:18.676 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-14 16:40:18.677 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-14 16:40:18.677 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-03-14 16:40:18.716 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-03-14 16:40:18.716 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 846 ms
2023-03-14 16:40:19.615 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-14 16:40:19.771 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-14 16:40:19.784 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2023-03-14 16:40:20.040 [restartedMain] INFO  com.itmo.eva.EvaApplication - Started EvaApplication in 2.491 seconds (JVM running for 2.827)
2023-03-14 16:40:22.639 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-14 16:40:22.639 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-14 16:40:22.641 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-03-14 16:40:22.685 [http-nio-8080-exec-2] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 7c3a50ef-491a-48dc-ab99-a887577d6b5a, path: /api/evaluate/update/status, ip: 0:0:0:0:0:0:0:1, params: [eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6IjEiLCJleHAiOjE2NzgxNjI3ODMsImlhdCI6MTY3ODE2MTU4MywidXNlcm5hbWUiOiJhZG1pbiJ9.0MO8Nv16i0lMKUWCt5QtW0aZQl_7abRy28U_vaL2rbs, EvaluateIdRequest(eid=27)]
2023-03-14 16:40:22.692 [http-nio-8080-exec-2] INFO  com.itmo.eva.utils.JwtUtil - 解析令牌中...
2023-03-14 16:40:28.761 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: e426687f-e290-4abc-8b95-7aa6d7790430, path: /api/admin/login, ip: 0:0:0:0:0:0:0:1, params: [AdminLoginRequest(username=admin, password=12345), org.apache.catalina.connector.RequestFacade@787c941]
2023-03-14 16:40:28.786 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 16:40:29.066 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 16:40:29.258 [http-nio-8080-exec-3] INFO  com.itmo.eva.utils.JwtUtil - 生成令牌中...
2023-03-14 16:40:29.263 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: e426687f-e290-4abc-8b95-7aa6d7790430, cost: 502ms
2023-03-14 16:40:29.264 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：1
2023-03-14 16:40:31.438 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 69c36293-e274-4020-8573-b1853f7ea81c, path: /api/evaluate/update/status, ip: 0:0:0:0:0:0:0:1, params: [eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6IjEiLCJleHAiOjE2Nzg3ODQ0MjksImlhdCI6MTY3ODc4MzIyOSwidXNlcm5hbWUiOiJhZG1pbiJ9.mpoFeWkkwL6o0vuJV4RL2KCSBed2Nk2xKxfDqseDOzI, EvaluateIdRequest(eid=27)]
2023-03-14 16:40:31.439 [http-nio-8080-exec-4] INFO  com.itmo.eva.utils.JwtUtil - 解析令牌中...
2023-03-14 16:40:35.334 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 7656022f-388c-489b-9c42-e241f1dadde1, path: /api/evaluate/update/status, ip: 0:0:0:0:0:0:0:1, params: [eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6IjEiLCJleHAiOjE2Nzg3ODQ0MjksImlhdCI6MTY3ODc4MzIyOSwidXNlcm5hbWUiOiJhZG1pbiJ9.mpoFeWkkwL6o0vuJV4RL2KCSBed2Nk2xKxfDqseDOzI, EvaluateIdRequest(eid=28)]
2023-03-14 16:40:35.335 [http-nio-8080-exec-5] INFO  com.itmo.eva.utils.JwtUtil - 解析令牌中...
2023-03-14 16:40:35.393 [http-nio-8080-exec-5] INFO  com.itmo.eva.service.impl.EvaluateServiceImpl - admin正在对2022-2023第一学期测评进行更改进行状态的操作
2023-03-14 16:40:35.441 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: 7656022f-388c-489b-9c42-e241f1dadde1, cost: 107ms
2023-03-14 16:40:35.441 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：2
2023-03-14 16:40:37.508 [http-nio-8080-exec-6] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 81177d1a-0c6d-4872-a1af-64b4901bb9d8, path: /api/evaluate/update/status, ip: 0:0:0:0:0:0:0:1, params: [eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6IjEiLCJleHAiOjE2Nzg3ODQ0MjksImlhdCI6MTY3ODc4MzIyOSwidXNlcm5hbWUiOiJhZG1pbiJ9.mpoFeWkkwL6o0vuJV4RL2KCSBed2Nk2xKxfDqseDOzI, EvaluateIdRequest(eid=28)]
2023-03-14 16:40:37.509 [http-nio-8080-exec-6] INFO  com.itmo.eva.utils.JwtUtil - 解析令牌中...
2023-03-14 16:40:37.555 [http-nio-8080-exec-6] INFO  com.itmo.eva.service.impl.EvaluateServiceImpl - admin正在对2022-2023第一学期测评进行更改进行状态的操作
2023-03-14 16:42:21.166 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-14 17:49:13.944 [main] INFO  com.itmo.eva.EvaApplicationTests - Starting EvaApplicationTests using Java 1.8.0_362 on chenjiaandeMBP2 with PID 51294 (started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 17:49:13.945 [main] INFO  com.itmo.eva.EvaApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-03-14 17:49:16.567 [main] INFO  com.itmo.eva.EvaApplicationTests - Started EvaApplicationTests in 2.865 seconds (JVM running for 3.398)
2023-03-14 17:49:16.698 [main] INFO  com.itmo.eva.EvaApplicationTests - 校验评测中...
2023-03-14 17:49:16.709 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 17:49:17.112 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 17:49:18.561 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-14 17:49:18.678 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-03-14 17:50:55.320 [main] INFO  com.itmo.eva.EvaApplicationTests - Starting EvaApplicationTests using Java 1.8.0_362 on chenjiaandeMBP2 with PID 51661 (started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 17:50:55.321 [main] INFO  com.itmo.eva.EvaApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-03-14 17:50:57.877 [main] INFO  com.itmo.eva.EvaApplicationTests - Started EvaApplicationTests in 2.8 seconds (JVM running for 3.399)
2023-03-14 17:50:57.999 [main] INFO  com.itmo.eva.EvaApplicationTests - 校验评测中...
2023-03-14 17:50:58.011 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 17:50:58.395 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 17:51:01.681 [main] INFO  com.itmo.eva.EvaApplicationTests - 2022-2023第一学期测评 评测平均分计算完成
2023-03-14 17:51:02.548 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-14 17:51:02.683 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-03-14 17:52:29.019 [main] INFO  com.itmo.eva.EvaApplicationTests - Starting EvaApplicationTests using Java 1.8.0_362 on chenjiaandeMBP2 with PID 52008 (started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 17:52:29.019 [main] INFO  com.itmo.eva.EvaApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-03-14 17:52:31.634 [main] INFO  com.itmo.eva.EvaApplicationTests - Started EvaApplicationTests in 2.845 seconds (JVM running for 3.376)
2023-03-14 17:52:31.764 [main] INFO  com.itmo.eva.EvaApplicationTests - 校验评测中...
2023-03-14 17:52:31.776 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 17:52:32.170 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 17:52:36.558 [main] INFO  com.itmo.eva.EvaApplicationTests - 2022-2023第一学期测评 评测平均分计算完成
2023-03-14 17:52:37.842 [main] INFO  com.itmo.eva.EvaApplicationTests - 2022-2023第一学期测评 评测已经结束，当前时间：2023-03-14
2023-03-14 17:52:39.194 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-14 17:52:39.316 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-03-14 17:53:30.387 [restartedMain] INFO  com.itmo.eva.EvaApplication - Starting EvaApplication using Java 1.8.0_362 on chenjiaandeMBP2 with PID 52231 (/Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva/target/classes started by chenjiahan in /Users/chenjiahan/项目开发/教学评价系统（管理员端重写）/eva)
2023-03-14 17:53:30.388 [restartedMain] INFO  com.itmo.eva.EvaApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 17:53:30.417 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-14 17:53:30.417 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-14 17:53:31.267 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-14 17:53:31.272 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-14 17:53:31.272 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-14 17:53:31.272 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-03-14 17:53:31.321 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-03-14 17:53:31.321 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 904 ms
2023-03-14 17:53:32.314 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-14 17:53:32.483 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-14 17:53:32.497 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2023-03-14 17:53:32.774 [restartedMain] INFO  com.itmo.eva.EvaApplication - Started EvaApplication in 2.657 seconds (JVM running for 2.986)
2023-03-14 17:53:38.326 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-14 17:53:38.327 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-14 17:53:38.328 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-14 17:53:38.366 [http-nio-8080-exec-1] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: b80164f1-0d39-4f5e-b225-0e41618ce3d9, path: /api/admin/login, ip: 0:0:0:0:0:0:0:1, params: [AdminLoginRequest(username=admin, password=12345), org.apache.catalina.connector.RequestFacade@774bb6c7]
2023-03-14 17:53:38.382 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-14 17:53:38.673 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-14 17:53:38.822 [http-nio-8080-exec-1] INFO  com.itmo.eva.utils.JwtUtil - 生成令牌中...
2023-03-14 17:53:38.917 [http-nio-8080-exec-1] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: b80164f1-0d39-4f5e-b225-0e41618ce3d9, cost: 554ms
2023-03-14 17:53:38.917 [http-nio-8080-exec-1] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：1
2023-03-14 17:53:44.562 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 6c3f21d4-32c1-4504-a4e0-d02a333032f6, path: /api/charts/get/static, ip: 0:0:0:0:0:0:0:1, params: []
2023-03-14 17:53:44.644 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: 6c3f21d4-32c1-4504-a4e0-d02a333032f6, cost: 82ms
2023-03-14 17:53:44.644 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：2
2023-03-14 17:53:48.563 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 6ec37f8e-7c06-4c01-801f-f12947342b84, path: /api/charts/get/system/chart, ip: 0:0:0:0:0:0:0:1, params: [IdRequest(id=4)]
2023-03-14 17:53:48.745 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: 6ec37f8e-7c06-4c01-801f-f12947342b84, cost: 182ms
2023-03-14 17:53:48.746 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：3
2023-03-14 17:53:53.859 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: b787f97f-6c05-4637-8039-9e8a1d449970, path: /api/charts/get/rank/chart, ip: 0:0:0:0:0:0:0:1, params: [TeacherIdentityQueryRequest(identity=0)]
2023-03-14 17:53:55.027 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: b787f97f-6c05-4637-8039-9e8a1d449970, cost: 1168ms
2023-03-14 17:53:55.028 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：4
2023-03-14 17:54:06.481 [http-nio-8080-exec-7] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: bef3ae62-fb4d-44b3-948d-86aee91c58b6, path: /api/charts/get/teacher/redline, ip: 0:0:0:0:0:0:0:1, params: []
2023-03-14 17:54:07.157 [http-nio-8080-exec-7] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: bef3ae62-fb4d-44b3-948d-86aee91c58b6, cost: 675ms
2023-03-14 17:54:07.157 [http-nio-8080-exec-7] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：5
2023-03-14 17:54:25.049 [http-nio-8080-exec-8] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: e38ca352-890b-489d-903d-b87c545cabff, path: /api/score/get/rank/teacher/total, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=null, sid=null, secondId=null, identity=1)]
2023-03-14 17:54:25.220 [http-nio-8080-exec-8] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: e38ca352-890b-489d-903d-b87c545cabff, cost: 171ms
2023-03-14 17:54:25.221 [http-nio-8080-exec-8] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：6
2023-03-14 17:54:42.194 [http-nio-8080-exec-9] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: d11f88b3-b918-46c9-877a-cd5cedbde905, path: /api/score/get/rank/teacher/total, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=null, sid=null, secondId=null, identity=0)]
2023-03-14 17:54:42.350 [http-nio-8080-exec-9] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: d11f88b3-b918-46c9-877a-cd5cedbde905, cost: 155ms
2023-03-14 17:54:42.350 [http-nio-8080-exec-9] INFO  com.itmo.eva.aop.LogInterceptor - 访问次数：7
2023-03-14 17:54:46.244 [http-nio-8080-exec-10] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: e7fd6b53-3756-47b8-8ce9-73be4093d826, path: /api/score/get/rank/teacher/first, ip: 0:0:0:0:0:0:0:1, params: [ScoreFilterRequest(eid=25, sid=3, secondId=null, identity=0)]
2023-03-14 17:54:46.308 [http-nio-8080-exec-10] INFO  com.itmo.eva.aop.LogInterceptor - request end, id: e7fd6b53-3756-47b8-8ce9-73be4093d826, cost: 63ms
